Name_en,Id,Const,Name_zh_hk
Alathfar,m,Lyr,織女增三
Albaldah,p,Sgr,建三
Albali,e,Aqr,女宿一
Albereo,b,Cyg,輦道增七
Albireo,b,Cyg,輦道增七
Albireor,b,Cyg,輦道增七
Alcaid,h,UMa,"搖光 , 北斗七"
Alchiba,a,Crv,右轄
Alchita,a,Crv,右轄
Alcor,80,UMa,開陽增一
Alcyone,h,Tau,昴宿六
Alcyone,x,Tau,天關
Aldebaran,a,Tau,畢宿五
Alderaimin,a,Cep,天鉤五
Alderamin,a,Cep,天鉤五
Aldhafara,z,Leo,軒轅十一
Aldhafera,z,Leo,軒轅十一
Aldhibah,z,Dra,"上弼 , 紫微左垣四"
Aldhibain,h,Dra,"少宰 , 紫微左垣三"
Aldib,d,Dra,天廚一
Alfard,a,Hya,星宿一
Alfecca,a,CrA,鱉六
Alfecca Meridiana,a,CrA,鱉六
Alfirk,b,Cep,上衛增一(紫微左垣)
Alga,q,Ser,"徐 , 天市左垣七"
Algebar,b,Ori,參宿七
Algedi,a2,Cap,牛宿二
Algedi Prima,a1,Cap,牛宿增六
Algedi Secunda,a2,Cap,牛宿二
Algeiba,g,Leo,軒轅十二
Algenib,g,Peg,壁宿一
Algenib,a,Per,天船三
Algenubi,e,Leo,軒轅九
Algieba,g,Leo,軒轅十二
Algiedi,a2,Cap,牛宿二
Algjebbath,h,Ori,參宿增三
Algoers,d,Crv,軫宿三
Algol,b,Per,大陵五
Algomeyla,b,CMi,南河二
Algomeysa,a,CMi,南河三
Algorab,d,Crv,軫宿三
Algoral,d,Crv,軫宿三
Algorel,d,Crv,軫宿三
Alhajoth,a,Aur,五車二
Alhena,g,Gem,井宿三
Aliath,e,UMa,"玉衡 , 北斗五"
Alifa,z,UMi,勾陳四
Alioth,e,UMa,"玉衡 , 北斗五"
Alkaffaljidhina,g,Cet,天囷八
Alkaid,h,UMa,"搖光 , 北斗七"
Alkalurops,m,Boo,七公六
Alkaphrah,c,UMa,太陽守
Alkaurops,m,Boo,七公六
Alkes,a,Crt,翼宿一
Alkhiba,a,Crv,右轄
Alkirdah,x,Cep,天鉤六
Alkurhah,x,Cep,天鉤六
Almaac,g,And,天大將軍一
Almaach,g,And,天大將軍一
Almaack,g,And,天大將軍一
Almaak,g,And,天大將軍一
Almaaz,e,Aur,柱一(畢宿)
Almach,g,And,天大將軍一
Almak,g,And,天大將軍一
Almeisan,g,Gem,井宿三
Almuredin,e,Vir,"東次將 , 太微左垣四"
Alnair,a,Gru,鶴一
Alnasl,g,Sgr,箕宿一
Alnasr,g,Sgr,箕宿一
Alnath,a,Ari,婁宿三
Alnath,g,Dra,天棓四
Alnath,b,Tau,五車五
Alnihan,e,Ori,參宿二
Alnilam,e,Ori,參宿二
Alnitah,x,Ori,參宿一
Alnitak,x,Ori,參宿一
Alnitam,e,Ori,參宿二
Alniyat,s,Sco,心宿一
Alphaca,a,CrB,貫索四
Alphacca,a,CrB,貫索四
Alphard,a,Hya,星宿一
Alphart,a,Hya,星宿一
Alphecca,a,CrB,貫索四
Alphekka,a,CrB,貫索四
Alpherat,a,And,壁宿二
Alpheratz,a,And,壁宿二
Alphirk,b,Cep,上衛增一(紫微左垣)
Alrai,g,Cep,少衛增八(紫微左垣)
Alrakis,m,Dra,天棓增九
Alrami,a,Sgr,天淵三
Alrescha,a,Psc,外屏七
Alrischa,a,Psc,外屏七
Alrisha,a,Psc,外屏七
Alruccabah,a,UMi,"勾陳一 , 北極星"
Alsafi,s,Dra,天廚二
Alsahm,a,Sge,左旗一
Alschain,b,Aql,河鼓一
Alschairn,b,Aql,河鼓一
Alsciaukat,31,Lyn,上台增四
Alshain,b,Aql,河鼓一
Alshat,n,Cap,牛宿增七
Alshemali,m,Leo,軒轅十
Alsuhail,l,Vel,天記
Altair,a,Aql,河鼓二
Altais,d,Dra,天廚一
Altarf,b,Cnc,柳宿增十
Alterf,l,Leo,軒轅八
Althafi,s,Dra,天廚二
Althalimain,l,Aql,天弁七
Aludra,h,CMa,弧矢二
Alula Australis,x,UMa,"下台二 , 三台六"
Alula Australe,x,UMa,"下台二 , 三台六"
Alula Boreale,n,UMa,"下台一 , 三台五"
Alula Borealis,n,UMa,"下台一 , 三台五"
Alwaid,b,Dra,天棓三
Alwazl,g,Sgr,箕宿一
Alwazn,d,CMa,弧矢一
Alya,s,Ser,"徐 , 天市左垣七"
Alzirr,x,Gem,井宿四
Amazon Star,g,Ori,參宿五
Ancha,q,Aqr,泣二
Anchat,t2,Eri,天苑九
Angel Stern,a,UMi,"勾陳一 , 北極星"
Angetenar,t2,Eri,天苑九
Ankaa,a,Phe,火鳥六
Anser,a,Vul,齊增五
Antares,a,Sco,心宿二
Antecanis,a,CMi,南河三
Apollo,a,Gem,北河二
Arcturus,a,Boo,大角
Arich,g,Vir,"東上相 , 太微左垣二"
Arided,a,Cyg,天津四
Aridif,a,Cyg,天津四
Arietis,a,Ari,婁宿三
Arkeb Posterior,b2,Sgr,天淵一
Arkeb Prior,b1,Sgr,天淵二
Arneb,a,Lep,廁一
Arrai,g,Cep,少衛增八(紫微左垣)
Arrakis,m,Dra,天棓增九
Arrioph,a,Cyg,天津四
Asad Australis,e,Leo,軒轅九
Ascella,z,Sgr,斗宿六
Aschere,a,CMa,天狼
Asellus Australis,d,Cnc,鬼宿四
Asellus Borealis,g,Cnc,鬼宿三
Asellus Primus,q,Boo,天槍三
Asellus Secundus,i,Boo,天槍二
Asellus Tertius,k,Boo,天槍一
Ashtaroth,a,CrB,貫索四
Asmidiske,i,Car,海石二
Asmidiske,x,Pup,弧矢增十七
Aspidiske,i,Car,海石二
Aspidiske,x,Pup,弧矢增十七
Asterion,b,CVn,常陳四
Asterope,21,Tau,昴宿三
Asuia,b,Dra,天棓三
Atair,a,Aql,河鼓二
Athafi,s,Dra,天廚二
Athafiyy,s,Dra,天廚二
Ati,o,Per,卷舌增七
Atik,o,Per,卷舌增七
Atiks,o,Per,卷舌增七
Atlas,27,Tau,昴宿七
Atria,a,TrA,三角形三
Auva,d,Vir,"東次相 , 太微左垣三"
Avior,e,Car,海石一
Azelfafage,p1,Cyg,螣蛇四
Azha,h,Eri,天苑六
Azimech,a,Vir,角宿一
Azmidiske,i,Car,海石二
Azmidiske,x,Pup,弧矢增十七
Baham,q,Peg,危宿二
Baiten Kaitos,z,Cet,天倉四
Baten Kaitos,z,Cet,天倉四
Batenkaitos,z,Cet,天倉四
Becrux,b,Cru,十字架三
Beid,o1,Eri,九州殊口二
Bellatrix,g,Ori,參宿五
Benatnasch,h,UMa,"搖光 , 北斗七"
Benetnasch,h,UMa,"搖光 , 北斗七"
Benetnash,h,UMa,"搖光 , 北斗七"
Betelgeuse,a,Ori,參宿四
Betelgeux,a,Ori,參宿四
Betelgeuze,a,Ori,參宿四
Biham,q,Peg,危宿二
Botein,d,Ari,天陰四
Brachium,s,Lib,折威七
Bunda,x,Aqr,天壘城一
Caiam,w,Her,斗一
Cajam,w,Her,斗一
Calbalakrab,a,Sco,心宿二
Calx,m,Gem,井宿一
Canicula,a,CMa,天狼
Canopus,a,Car,老人
Capella,a,Aur,五車二
Caph,b,Cas,王良一
Caput Trianguli,a,Tri,婁宿增六
Castor,a,Gem,北河二
Castula,n,Cas,閣道五
Cebalrai,b,Oph,宗正一
Cebelrai,b,Oph,宗正一
Ceginus,g,Boo,招搖
Celaeno,16,Tau,昴宿增六
Celb-al-Rai,b,Oph,宗正一
Celeno,16,Tau,昴宿增六
Celieno,16,Tau,昴宿增六
Chaph,b,Cas,王良一
Chara,a,CVn,常陳一
Chara,b,CVn,常陳四
Cheleb,b,Oph,宗正一
Chertan,q,Leo,"西次相 , 太微右垣四"
Choo,a,Ara,杵二(箕宿)
Chort,q,Leo,"西次相 , 太微右垣四"
Cih,g,Cas,策
Clava,m,Boo,七公六
Cor Caroli,a,CVn,常陳一
Cor Hydrae,a,Hya,星宿一
Cor Leonis,a,Leo,軒轅十四
Cor Scorpii,a,Sco,心宿二
Cor Sepentis,a,Ser,"蜀 , 天市右垣七"
Cor Tauri,a,Tau,畢宿五
Cornu,s,Lib,折威七
Coxa,q,Leo,"西次相 , 太微右垣四"
Cujam,w,Her,斗一
Cursa,b,Eri,玉井三
Cymbae,a,Phe,火鳥六
Cynosaura,a,UMi,"勾陳一 , 北極星"
Cynosura,a,UMi,"勾陳一 , 北極星"
Dabih,b,Cap,牛宿一
Deneb,e,Aql,吳越增一
Deneb,x,Aql,"吳越 , 天市左垣六"
Deneb,h,Cet,天倉二
Deneb,a,Cyg,天津四
Deneb,e,Del,敗瓜一
Deneb,b,Leo,五帝座一
Deneb Algedi,d,Cap,壘壁陣四
Deneb Al Giedi,d,Cap,壘壁陣四
Deneb al Schemali,i,Cet,天倉一
Deneb Aleet,b,Leo,五帝座一
Deneb Algedi,d,Cap,壘壁陣四
Deneb Algenudi,h,Cet,天倉二
Deneb Algiedi,d,Cap,壘壁陣四
Deneb Cygni,a,Cyg,天津四
Deneb Dulfim,e,Del,敗瓜一
Deneb el Adige,a,Cyg,天津四
Deneb el Delphinus,e,Del,敗瓜一
Deneb el Okab,e,Aql,吳越增一
Deneb el Okab,x,Aql,"吳越 , 天市左垣六"
Deneb Kait,b,Cet,土司空
Deneb Kaitos,b,Cet,土司空
Deneb Kaitos Senubi,b,Cet,土司空
Deneb Kaitos Shamaliyy,i,Cet,天倉一
Deneb Kaitos Shemali,i,Cet,天倉一
Deneb Okab,d,Aql,右旗三
Denebola,b,Leo,五帝座一
Denebolan,b,Leo,五帝座一
Dhabih,b,Cap,牛宿一
Dhalim,b,Eri,玉井三
Dheneb,x,Aql,"吳越 , 天市左垣六"
Dheneb,h,Cet,天倉二
Dhur,d,Leo,"西上相 , 太微右垣五"
Diadem,a,Com,"東上將 , 太微左垣五"
Difda,b,Cet,土司空
Difda al Auwel,a,PsA,北落師門
Difda al Thani,b,Cet,土司空
Diphda,b,Cet,土司空
Dnoces,i,UMa,"上台一 , 三台一"
Dschubba,d,Sco,房宿三
Dsiban,y,Dra,女史增一
Dubb,a,UMa,"天樞 , 北斗一"
Dubhe,a,UMa,"天樞 , 北斗一"
Duhr,d,Leo,"西上相 , 太微右垣五"
Dziban,y,Dra,女史增一
Dzuba,d,Sco,房宿三
Ed Asich,i,Dra,"左樞 , 紫微左垣一"
Edasich,i,Dra,"左樞 , 紫微左垣一"
El Acola,x,UMa,"下台二 , 三台六"
El Dhalim,b,Eri,玉井三
El Difda,b,Cet,土司空
El Ghoul,b,Per,大陵五
El Kaprah,k,UMa,"上台二 , 二台二"
El Karidab,d,Sgr,箕宿二
El Khereb,t,Peg,離宮五
El Koprah,c,UMa,太陽守
El Melik,a,Aqr,危宿一
El Nath,a,Ari,婁宿三
El Nath,b,Tau,五車五
El Phekrah,m,UMa,"中台二 , 三台四"
El Rakis,m,Dra,天棓增九
El Rischa,a,Psc,外屏七
Elacrab,b,Sco,房宿四
Eldsich,i,Dra,"左樞 , 紫微左垣一"
Electra,17,Tau,昴宿一
Elgebar,b,Ori,參宿七
Elgomaisa,a,CMi,南河三
Elkeid,h,UMa,"搖光 , 北斗七"
Elkhiffa Australis,a,Lib,氐宿一
Elkhiffa Boraelis,b,Lib,氐宿四
Elmathalleth,a,Tri,婁宿增六
Elmuthalleth,a,Tri,婁宿增六
Elnath,b,Tau,五車五
Eltanin,g,Dra,天棓四
Enf,e,Peg,危宿三
Enif,e,Peg,危宿三
Eniph,e,Peg,危宿三
Enir,e,Peg,危宿三
Er Rai,g,Cep,少衛增八(紫微左垣)
Er Rakis,m,Dra,天棓增九
Erakis,m,Cep,造父四
Errai,g,Cep,少衛增八(紫微左垣)
Errakis,m,Dra,天棓增九
Etamin,g,Dra,天棓四
Etanin,g,Dra,天棓四
Ettanin,g,Dra,天棓四
Falx Italica,38,Boo,玄戈增二
Fidis,a,Lyr,織女一
Fom,e,Peg,危宿三
Fomalhaut,a,PsA,北落師門
Fornacis,a,For,"天苑增三 , 天苑增四"
Fum Al Samakah,b,Psc,霹靂一
Furud,z,CMa,孫增一
Gacrux,g,Cru,十字架一
Gallina,a,Cyg,天津四
Garnet Star,m,Cep,造父四
Gemma,a,CrB,貫索四
Genam,x,Dra,天棓一
Gianfar,l,Dra,"上輔 , 紫微右垣三"
Giansar,l,Dra,"上輔 , 紫微右垣三"
Giausar,l,Dra,"上輔 , 紫微右垣三"
Giauzar,l,Dra,"上輔 , 紫微右垣三"
Giedi,a2,Cap,牛宿二
Giede Prime,a1,Cap,牛宿增六
Giede Secunda,a2,Cap,牛宿二
Gienah,g,Crv,軫宿一
Gienah,e,Cyg,天津九
Gienah Cygni,e,Cyg,天津九
Gienah Ghurab,g,Crv,軫宿一
Gienar,e,Cyg,天津九
Gildun,d,UMi,勾陳二
Girtab,k,Sco,尾宿七
Gnosia,a,CrB,貫索四
Gnosia Stella Cornonae,a,CrB,貫索四
Gomeisa,b,CMi,南河二
Gomelza,b,CMi,南河二
Gorgona,b,Per,大陵五
Gorgonea Prima,b,Per,大陵五
Gorgonea Quarta,w,Per,大陵增十八
Gorgonea Secunda,p,Per,積尸
Gorgonea Tertia,r,Per,大陵六
Graffias,b,Sco,房宿四
Graffias,z,Sco,尾宿三
Grafias,z,Sco,尾宿三
Gredi,a2,Cap,牛宿二
Hadar,b,Cen,馬腹一
Haedus,z,Aur,柱二(畢宿)
Hamal,a,Ari,婁宿三
Hamul,a,Ari,婁宿三
Han,z,Oph,"韓 , 天市右垣十一"
Haris,g,Boo,招搖
Hasseleh,i,Aur,五車一
Hastorang,a,PsA,北落師門
Hatsya,i,Ori,伐三
Hatysa,i,Ori,伐三
Heka,l,Ori,觜宿一
Hemal,a,Ari,婁宿三
Hercules,b,Gem,北河三
Herschel's Garnet Star,m,Cep,造父四
Heze,z,Vir,角宿二
Hoedus I,z,Aur,柱二(畢宿)
Hoedus II,h,Aur,柱三(畢宿)
Homam,z,Peg,雷電一
Homan,z,Peg,雷電一
Humam,z,Peg,雷電一
Hyadem I,g,Tau,畢宿四
Hyadem II,d1,Tau,畢宿三
Hyadem Primus,g,Tau,畢宿四
Hyadum I,g,Tau,畢宿四
Hyadum II,d1,Tau,畢宿三
Hyadum Primus,g,Tau,畢宿四
Icalurus,m,Boo,七公六
Iclarkrau,d,Sco,房宿三
Iclarkrav,d,Sco,房宿三
Inkalunis,m,Boo,七公六
Isis,a,CMa,天狼
Isis,g,CMa,天狼增四
Izar,e,Boo,梗河一
Jabbah,n,Sco,鍵閉
Jed,d,Oph,"梁 , 天市右垣九"
Jewel,a,CrB,貫索四
Job's Star,a,Boo,大角
Jugum,g,Lyr,漸台三
Juza,l,Dra,"上輔 , 紫微右垣三"
Juza,x,Dra,天棓一
Kabeleced,a,Leo,軒轅十四
Kaff,b,Cas,王良一
Kaffa,d,UMa,"天權 , 北斗四"
Kaffaljidhmah,g,Cet,天囷八
Kaffaljidma,g,Cet,天囷八
Kaitain,a,Psc,外屏七
Kajam,w,Her,斗一
Kalb,a,Leo,軒轅十四
Kalb al Akrab,a,Sco,心宿二
Kalb al Rai,b,Oph,宗正一
Kalbalrai,b,Oph,宗正一
Kalbelaphard,a,Hya,星宿一
Kaus Australis,e,Sgr,箕宿三
Kaus Borealis,l,Sgr,斗宿二
Kaus Media,d,Sgr,箕宿二
Kaus Medius,d,Sgr,箕宿二
Kaus Meridionalis,d,Sgr,箕宿二
Ke Kouan,b,Lup,騎官四
Keid,o2,Eri,九州殊口增十一
Kelb,a,Leo,軒轅十四
Kelb Alrai,b,Oph,宗正一
Kelb-al-Rai,b,Oph,宗正一
Kerb,t,Peg,離宮五
Kied,o2,Eri,九州殊口增十一
Kiffa Australis,a,Lib,氐宿一
Kiffa Boraelis,b,Lib,氐宿四
Kitabpha,a,Equ,虛宿二
Kitalpha,a,Equ,虛宿二
Kitalphar,a,Equ,虛宿二
Kitel Phard,a,Equ,虛宿二
Kocab,b,UMi,"帝 , 北極二"
Kochab,b,UMi,"帝 , 北極二"
Kochah,b,UMi,"帝 , 北極二"
Korneforos,b,Her,"河中 , 天市右垣一"
Kornephoros,b,Her,"河中 , 天市右垣一"
Kraz,b,Crv,軫宿四
Ksora,d,Cas,閣道三
Kuma,n,Dra,天棓二
Kurhah,x,Cep,天鉤六
Kursa,b,Eri,玉井三
La Superba,y,CVn,
Lesath,l,Sco,尾宿八
Lesath,n,Sco,鍵閉
Lesath,u,Sco,尾宿九
Leschath,u,Sco,尾宿九
Lesuth,l,Sco,尾宿八
Lesuth,u,Sco,尾宿九
Lodestar,a,UMi,"勾陳一 , 北極星"
Lucida Cymbae,a,Phe,火鳥六
Maasym,l,Her,"趙 , 天市左垣二"
Maaz,e,Aur,柱一(畢宿)
Mabsuthat,31,Lyn,上台增四
Maia,20,Tau,昴宿四
Maiaplacidus,b,Car,南船五
Marchab,a,Peg,室宿一
Marfac,a,Per,天船三
Marfak,m,Cas,
Marfak,q,Cas,閣道四
Marfak,k,Her,"晉 , 天市右垣三"
Marfak,a,Per,天船三
Marfic,l,Oph,列肆二
Marfik,k,Her,"晉 , 天市右垣三"
Marfik,l,Oph,列肆二
Markab,a,Peg,室宿一
Markab,t,Peg,離宮五
Markab,k1,Pup,弧矢六
Markeb,t,Peg,離宮五
Markeb,k1,Pup,弧矢六
Markeb,C,Vel,
Marrha,38,Boo,玄戈增二
Marsic,l,Oph,列肆二
Marsik,k,Her,"晉 , 天市右垣三"
Masym,l,Her,"趙 , 天市左垣二"
Matar,h,Peg,離宮四
Mebsuta,e,Gem,井宿五
Mebusta,e,Gem,井宿五
Media,d,Sgr,箕宿二
Megres,d,UMa,"天權 , 北斗四"
Megrez,d,UMa,"天權 , 北斗四"
Meissa,l,Ori,觜宿一
Mekab,a,Cet,天囷一
Mekbuda,z,Gem,井宿七
Melboula,e,Gem,井宿五
Melucta,e,Gem,井宿五
Men,a,Lup,騎官十
Menchib,x,Per,卷舌三
Menkab,a,Cet,天囷一
Menkalina,b,Aur,五車三
Menkalinan,b,Aur,五車三
Menkar,a,Cet,天囷一
Menkar,l,Cet,天囷三
Menkent,q,Cen,庫樓三
Menkhib,z,Per,卷舌四
Menkib,b,Peg,室宿二
Menkib,z,Per,卷舌四
Merach,b,And,奎宿九
Merak,b,UMa,"天璇 , 北斗二"
Meres,b,Boo,七公增五
Merez,b,Boo,七公增五
Merga,38,Boo,玄戈增二
Meridiana,a,CrA,鱉六
Merope,23,Tau,昴宿五
Mesarthim,g,Ari,婁宿二
Mesartim,g,Ari,婁宿二
Metallah,a,Tri,婁宿增六
Metallah,a,Tri,婁宿增六
Miaplacidus,b,Car,南船五
Mimosa,b,Cru,十字架三
Minelauva,b,Vir,"右執法 , 太微右垣一"
Minelauva,d,Vir,"東次相 , 太微左垣三"
Minelauva,d,Vir,"東次相 , 太微左垣三"
Minkar,e,Crv,軫宿二
Mintaka,d,Ori,參宿三
Mintika,d,Ori,參宿三
Mira,o,Cet,芻藁增二
Mirac,b,And,奎宿九
Mirac,e,Boo,梗河一
Mirach,b,And,奎宿九
Mirach,e,Boo,梗河一
Mirak,e,Boo,梗河一
Miram,h,Per,天船一
Mirfak,k,Her,"晉 , 天市右垣三"
Mirfak,a,Peg,室宿一
Mirfak,a,Per,天船三
Mirphak,a,Peg,室宿一
Mirphak,a,Per,天船三
Mirrak,e,Boo,梗河一
Mirza,b,CMa,軍市一
Mirza,g,CMa,天狼增四
Mirza,z,UMa,"開陽 , 北斗六"
Mirzak,a,Per,天船三
Mirzam,b,CMa,軍市一
Mirzim,b,CMa,軍市一
Misam,l,Her,"趙 , 天市左垣二"
Misam,k,Per,大陵四
Mismar,a,UMi,"勾陳一 , 北極星"
Mizar,b,And,奎宿九
Mizar,e,Boo,梗河一
Mizar,z,UMa,"開陽 , 北斗六"
Mizat,z,UMa,"開陽 , 北斗六"
Monkar,a,Cet,天囷一
Mothallah,a,Tri,婁宿增六
Mufrid,h,Boo,右攝提一
Mufride,h,Boo,右攝提一
Muhlifain,g,Cen,庫樓七
Muliphain,g,CMa,天狼增四
Muliphein,g,CMa,天狼增四
Muliphen,g,CMa,天狼增四
Muphrid,h,Boo,右攝提一
Muphride,h,Boo,右攝提一
Murzim,b,CMa,軍市一
Muscida,o,UMa,內階一
Muscida,p2,UMa,內階增七
Museida,p2,UMa,內階增七
Nair al Saif,i,Ori,伐三
Nair al Zaurak,a,Phe,火鳥六
Naos,z,Pup,弧矢增二十二
Nash,g,Sgr,箕宿一
Nashira,g,Cap,壘壁陣三
Nasl,g,Sgr,箕宿一
Nath,b,Tau,五車五
Navi,e,Cas,閣道二
Navigatoria,a,UMi,"勾陳一 , 北極星"
Nekkar,b,Boo,七公增五
Nibal,b,Lep,廁二
Nicolaus,a,Del,瓠瓜一
Nihal,b,Lep,廁二
Nodus I,z,Dra,"上弼 , 紫微左垣四"
Nodus II,d,Dra,天廚一
Nodus Secundus,d,Dra,天廚一
Nunki,s,Sgr,斗宿四
Nusakan,b,CrB,貫索三
Nushaba,g,Sgr,箕宿一
Oculus Boreus,e,Tau,畢宿一
Okda,a,Psc,外屏七
Os Pegasi,e,Peg,危宿三
Os Piscis Meridiani,a,PsA,北落師門
Os Piscis Notii,a,PsA,北落師門
Osiris,a,CMa,天狼
Palilicium,a,Tau,畢宿五
Parilicium,a,Tau,畢宿五
Peacock,a,Pav,孔雀十一
Phacd,g,UMa,"天璣 , 北斗三"
Phack,a,Col,丈人一
Phact,a,Col,丈人一
Phad,a,Col,丈人一
Phad,g,UMa,"天璣 , 北斗三"
Phad,g,UMa,"天璣 , 北斗三"
Phaet,a,Col,丈人一
Phakt,a,Col,丈人一
Phecda,g,UMa,"天璣,北斗三"
Phegda,g,UMa,"天璣,北斗三"
Phakda,g,UMa,"天璣,北斗三"
Phekha,g,UMa,"天璣,北斗三"
Pherkad,g,UMi,"太子 , 北極一"
Pherkad Major,g,UMi,"太子 , 北極一"
Pherkad Minor,l,UMi,勾陳增五
Pherkard,d,UMi,勾陳二
Phoenice,a,UMi,"勾陳一 , 北極星"
Phurad,z,CMa,孫增一
Phurud,z,CMa,孫增一
Pishpai,m,Gem,井宿一
Plaskett's Star,V640,Mon,
Pleione,28,Tau,昴宿增十二
Polaris,a,UMi,"勾陳一 , 北極星"
Poaris Australis,s,Oct,南極
Pollux,b,Gem,北河三
Porrima,g,Vir,"東上相,太微左垣二"
Postvarta,g,Vir,"東上相,太微左垣二"
Praecipua,46,LMi,勢四
Prima Giedi,a2,Cap,牛宿二
Procyon,a,CMi,南河三
Propus,h,Gem,鉞
Propus,i,Gem,五諸侯三(井宿)
Protrygetor,e,Vir,"東次將 , 太微左垣四"
Pulcherrima,e,Boo,梗河一
Rana,d,Eri,天苑三
Rana Secunda,b,Cet,土司空
Ras al Asad,m,Leo,軒轅十
Ras al Mothallath,a,Tri,婁宿增六
Ras al Muthallath,a,Tri,婁宿增六
Ras Algethi,a,Her,帝座
Ras Alhagua,a,Oph,候
Ras Elased Australis,e,Leo,軒轅九
Ras Elased Boraelis,m,Leo,軒轅十
Ras Hammel,a,Ari,婁宿三
Ras-al-hague,a,Oph,候
Ras-Alhague,a,Oph,候
Rasaben,b,Dra,天棓三
Rasalas,m,Leo,軒轅十
Rasalegti,a,Her,帝座
Rasalgethi,a,Her,帝座
Rasalhague,a,Oph,候
Rasalmothallah,a,Tri,婁宿增六
Rassalas,m,Leo,軒轅十
Rastaban,b,Dra,天棓三
Rastaban,g,Dra,天棓四
Rastaben,b,Dra,天棓三
Reda,g,Aql,河鼓三
Regor,g,Vel,天社一
Regulus,a,Leo,軒轅十四
Rescha,a,Psc,外屏七
Rex,a,Leo,軒轅十四
Rigel,b,Ori,參宿七
Rigel Kent,a,Cen,南門二
Rigel Kentaurus,a,Cen,南門二
Rigil Kent,a,Cen,南門二
Rigil Kentaurus,a,Cen,南門二
Rigl al Awwa,m,Vir,亢宿增七
Rotanen,b,Del,瓠瓜四
Rotanev,b,Del,瓠瓜四
Rucha,d,Cas,閣道三
Ruchba,o2,Cyg,天津增三十七
Ruchbah,d,Cas,閣道三
Ruchbah,e,Cas,閣道二
Rukbat,a,Sgr,天淵三
Rukbat al Rami,a,Sgr,天淵三
Rukbat al-dejajah,o2,Cyg,天津增三十七
Rutilicus,b,Her,"河中 , 天市右垣一"
Rutilicus,z,Her,天紀二
Saad el Melik,a,Aqr,危宿一
Saad el Suud,b,Aqr,虛宿一
Saak,h,Boo,右攝提一
Sabik,h,Oph,"宋 , 天市左垣十一"
Saclateni,z,Aur,柱二(畢宿)
Sad es Saud,b,Aqr,虛宿一
Sadachbia,g,Aqr,墳墓二
Sadal Melik,a,Aqr,危宿一
Sadalachbia,g,Aqr,墳墓二
Sadalbari,m,Peg,離宮二
Sadalmelek,a,Aqr,危宿一
Sadalmelik,a,Aqr,危宿一
Sadalsud,b,Aqr,虛宿一
Sadalsund,b,Aqr,虛宿一
Sadalsuud,b,Aqr,虛宿一
Sadatoni,z,Aur,柱二(畢宿)
Sadir,g,Cyg,天津一
Sadira,s,Sgr,斗宿四
Sadlamulk,a,Aqr,危宿一
